Time1,Volts1,Volts2,Volts12,Time2,Volts22
-1.54E-03,0,8.00E-01,0,1.00E-06,29.60000038
-1.54E-03,0,8.00E-01,0,2.00E-06,29.60000038
-1.54E-03,2.00E-01,8.00E-01,0,3.00E-06,29.60000038
-1.54E-03,2.00E-01,0,0,4.00E-06,29.60000038
-1.54E-03,0,8.00E-01,0,5.00E-06,30.39999962
-1.54E-03,0,8.00E-01,0,6.00E-06,29.60000038
-1.53E-03,2.00E-01,8.00E-01,0,7.00E-06,29.60000038
-1.53E-03,2.00E-01,8.00E-01,0,8.00E-06,29.60000038
-1.53E-03,0,8.00E-01,0,9.00E-06,30.39999962
-1.53E-03,0,8.00E-01,0,1.00E-05,30.39999962
-1.53E-03,0,0,0,1.10E-05,29.60000038
-1.53E-03,0,0,2.00E-01,1.20E-05,30.39999962
-1.53E-03,2.00E-01,8.00E-01,2.00E-01,1.30E-05,30.39999962
-1.53E-03,2.00E-01,8.00E-01,2.00E-01,1.40E-05,30.39999962
-1.53E-03,0,8.00E-01,0,1.50E-05,29.60000038
-1.53E-03,2.00E-01,8.00E-01,0,1.60E-05,29.60000038
-1.52E-03,0,8.00E-01,0,1.70E-05,29.60000038
-1.52E-03,0,8.00E-01,0,1.80E-05,30.39999962
-1.52E-03,0,8.00E-01,0,1.90E-05,30.39999962
-1.52E-03,2.00E-01,8.00E-01,0,2.00E-05,30.39999962
-1.52E-03,2.00E-01,8.00E-01,0,2.10E-05,30.39999962
-1.52E-03,0,0,2.00E-01,2.20E-05,29.60000038
-1.52E-03,0,8.00E-01,2.00E-01,2.30E-05,29.60000038
-1.52E-03,0,8.00E-01,0,2.40E-05,29.60000038
-1.52E-03,0,0,0,2.50E-05,30.39999962
-1.52E-03,0,8.00E-01,0,2.60E-05,29.60000038
-1.51E-03,0,8.00E-01,2.00E-01,2.70E-05,30.39999962
-1.51E-03,0,0,0,2.80E-05,30.39999962
-1.51E-03,0,8.00E-01,0,2.90E-05,29.60000038
-1.51E-03,0,0,0,3.00E-05,30.39999962
-1.51E-03,2.00E-01,8.00E-01,2.00E-01,3.10E-05,30.39999962
-1.51E-03,2.00E-01,0,2.00E-01,3.20E-05,29.60000038
